Book Name,Sentence Length (Avg),Total Words,Word Length (Avg),Total Sentences,Initial Text Length (Chars),Unique Lemmas,TTR,Avg Syllables Per Word,Lexical Density,Pronoun Usage Rate (%),Nominalization Rate (%),Hapax Legomena Ratio (%),Abstract vs. Concrete Words Ratio,Flesch Reading Ease,Flesch-Kincaid Grade Level,SMOG Index,Dale-Chall Readability Score,Automated Readability Index,Gunning Fog Index,Linsear Write Formula,FORCAST Readability Score
Lamia_John_Keats,29.467032967032967,5363,4.315495058735782,182,34612,1803,0.3361924296102927,1.2384859220585493,0.7048293865373858,9.640126794704457,1.1187768040275965,22.20771955994779,1.5132360886007563,64.68,12.1,9.4,8.73,16.6,13.84,8.0,19.7
Leaves_of_Grass_Walt_Whitman,32.142632818633864,122817,4.277363882850094,3821,738051,11981,0.09755164187368198,1.3058371398096356,0.6942605665339489,9.939992020648607,1.3369484680459545,4.547416074321959,1.7341864908010782,62.24,13.0,12.0,6.74,17.8,14.64,17.666666666666668,19.3
Marmion_A_Tale_of_Flodden_Field_Walter_Scott,29.435205992509363,39296,4.265675895765472,1335,251949,6061,0.15423961726384364,1.205593444625407,0.7057715798045603,8.186583876221498,0.837235342019544,7.647088762214984,1.431378386424531,73.55,10.8,8.4,7.22,16.2,13.17,13.5,19.759999999999998
Mountain_Interval_Robert_Frost,17.276661514683152,11178,3.8415637860082303,647,64097,1950,0.17444981213097155,1.1537842190016103,0.7045983181248882,14.376453748434425,0.4204687779567007,9.867597065664699,1.5380116959064327,87.45,5.4,6.6,6.03,6.9,7.5,13.5,19.779999999999998
Paradise_Lost_John_Milton,43.99227799227799,79758,4.463113418089722,1813,456569,8875,0.11127410416509942,1.2908673738057623,0.6958549612578049,9.057398630858346,1.7352491286140574,5.250883923869706,1.9658852269318132,52.8,16.7,12.2,7.29,22.5,18.42,13.25,19.54
Poems_by_Emily_Dickinson_Three_Series_Complete,13.085436033643205,29560,4.241339648173207,2259,170665,5491,0.1857577807848444,1.287719891745602,0.7337618403247632,9.634641407307171,1.3565629228687415,10.63937753721245,1.836516424751719,77.37,7.2,9.0,6.81,9.4,9.05,13.25,19.340000000000003
Poems_by_William_Cullen_Bryant,25.173557937723327,49315,4.286403731116293,1959,283391,6293,0.1276082327892122,1.2078880665112035,0.6673831491432627,8.123289060123696,0.8131400182500254,6.1360640778667745,1.5962978749314984,78.11,9.0,8.5,6.59,13.5,11.37,17.0,19.58
Poems_Christiba_Georgina_Rossetti,23.174466620784585,67345,4.067874378201797,2906,423725,6921,0.10276932214715272,1.1825970747642736,0.7246417699903482,11.4826638948697,0.6800801841265127,4.814017373227411,1.418106731887254,79.53,8.5,7.9,6.17,11.9,10.63,10.6,19.68
Poems_of_Passoon_Ella_Wheeler_Wilcox,20.121859296482413,16017,4.020915277517638,796,98805,2777,0.1733782855715802,1.1853031154398452,0.7149278891178124,11.27551976025473,1.1675095211337954,9.265155771992257,1.8924816504661774,83.19,7.1,7.6,6.55,9.7,9.33,10.6,19.779999999999998
Poems_of_William_Blake,19.21529745042493,6783,4.042606516290727,353,40051,1484,0.21878224974200206,1.1897390535161434,0.7057349255491671,10.850656051894441,0.5897095680377414,11.602535751142561,1.3426707597851113,85.02,6.4,6.4,6.57,8.8,8.36,7.833333333333334,19.82
