Word,Conc.M,Conc.SD,Category
super,1.9,0.98,Abstract
tranquil,1.9,0.96,Abstract
truthful,1.9,1.3,Abstract
unanswerable,1.9,1.29,Abstract
unequaled,1.9,1.21,Abstract
unintended,1.9,1.11,Abstract
usual,1.9,1.18,Abstract
warmhearted,1.9,1.21,Abstract
abominable,1.89,0.99,Abstract
artless,1.89,1.13,Abstract
belated,1.89,0.93,Abstract
benign,1.89,1.15,Abstract
competitive,1.89,1.05,Abstract
conspicuous,1.89,0.93,Abstract
coveted,1.89,0.99,Abstract
coy,1.89,1.1,Abstract
deficient,1.89,1.13,Abstract
dejected,1.89,0.96,Abstract
dishonest,1.89,1.2,Abstract
distressing,1.89,0.97,Abstract
dogmatic,1.89,1.25,Abstract
everlasting,1.89,1.34,Abstract
heartfelt,1.89,0.99,Abstract
heedless,1.89,1.22,Abstract
illicit,1.89,1.03,Abstract
imminent,1.89,1.31,Abstract
imprudent,1.89,1.1,Abstract
inartistic,1.89,1.22,Abstract
indifferent,1.89,1.17,Abstract
indisputable,1.89,1.12,Abstract
ingenious,1.89,1.2,Abstract
irrefutable,1.89,1.29,Abstract
joyless,1.89,0.85,Abstract
lofty,1.89,1.01,Abstract
melancholic,1.89,1.03,Abstract
moronic,1.89,0.93,Abstract
noble,1.89,1.15,Abstract
nonreactive,1.89,1.07,Abstract
oppressed,1.89,1.15,Abstract
overriding,1.89,1.13,Abstract
perceptive,1.89,1.03,Abstract
perplexing,1.89,1.23,Abstract
precautionary,1.89,0.99,Abstract
probationary,1.89,0.93,Abstract
promising,1.89,0.75,Abstract
prosecutorial,1.89,1.01,Abstract
psychosexual,1.89,1.09,Abstract
remarkable,1.89,1.34,Abstract
sacramental,1.89,1.12,Abstract
scandalous,1.89,1.12,Abstract
sensationalistic,1.89,1.25,Abstract
shameless,1.89,1.31,Abstract
spellbinding,1.89,1.13,Abstract
straightforward,1.89,1.09,Abstract
stressful,1.89,0.96,Abstract
stylistic,1.89,1.12,Abstract
suspenseful,1.89,0.97,Abstract
thankless,1.89,1.25,Abstract
unabashed,1.89,1.17,Abstract
unaccounted,1.89,0.93,Abstract
unconstrained,1.89,1.03,Abstract
unemployable,1.89,1.25,Abstract
unfit,1.89,1.15,Abstract
unfounded,1.89,1.2,Abstract
unimpeded,1.89,1.1,Abstract
unique,1.89,1.23,Abstract
unloved,1.89,1.2,Abstract
unprejudiced,1.89,1.1,Abstract
unrealistic,1.89,1.19,Abstract
unremorseful,1.89,1.23,Abstract
unsafe,1.89,1.03,Abstract
untraditional,1.89,1.09,Abstract
abortive,1.88,0.99,Abstract
admissible,1.88,0.95,Abstract
analyzable,1.88,1.17,Abstract
anarchistic,1.88,1.01,Abstract
apologetic,1.88,1.05,Abstract
bodiless,1.88,0.68,Abstract
brainy,1.88,1.11,Abstract
carefree,1.88,1.2,Abstract
concise,1.88,1.21,Abstract
conscientious,1.88,0.99,Abstract
damnable,1.88,1.14,Abstract
devoted,1.88,1.07,Abstract
discreditable,1.88,0.95,Abstract
dispositional,1.88,1.09,Abstract
enthralling,1.88,1.21,Abstract
equitable,1.88,1.11,Abstract
grievous,1.88,1.11,Abstract
hallucinatory,1.88,1.21,Abstract
handy,1.88,1.03,Abstract
hesitant,1.88,1.01,Abstract
idiotic,1.88,1.09,Abstract
illusionary,1.88,1.03,Abstract
incommunicative,1.88,0.85,Abstract
incurable,1.88,1.13,Abstract
infallible,1.88,1.05,Abstract
insupportable,1.88,1.24,Abstract
invigorating,1.88,0.97,Abstract
knowable,1.88,1.01,Abstract
newsworthy,1.88,0.88,Abstract
nonchalant,1.88,1.07,Abstract
nostalgic,1.88,1.19,Abstract
omniscient,1.88,1.34,Abstract
ongoing,1.88,1.09,Abstract
organismic,1.88,1.01,Abstract
overdramatic,1.88,1.18,Abstract
overzealous,1.88,1.03,Abstract
pathological,1.88,1.34,Abstract
poetic,1.88,1.13,Abstract
preferential,1.88,1.15,Abstract
profitless,1.88,1.12,Abstract
promiscuous,1.88,0.97,Abstract
proximate,1.88,1.09,Abstract
psychoneurotic,1.88,0.99,Abstract
repressed,1.88,1.14,Abstract
reputed,1.88,1.03,Abstract
sellable,1.88,0.85,Abstract
sophisticated,1.88,0.99,Abstract
sophomoric,1.88,1.17,Abstract
surmountable,1.88,1.18,Abstract
symbiotic,1.88,1.17,Abstract
tenuous,1.88,0.88,Abstract
unaided,1.88,1.03,Abstract
uncertain,1.88,1.12,Abstract
unconfused,1.88,0.82,Abstract
unemotional,1.88,1.09,Abstract
unflappable,1.88,1.27,Abstract
unhittable,1.88,0.77,Abstract
unlimited,1.88,1.48,Abstract
unmolested,1.88,1.24,Abstract
unusable,1.88,1.05,Abstract
verbose,1.88,0.91,Abstract
aspiring,1.87,1.25,Abstract
celebratory,1.87,1.04,Abstract
commonsense,1.87,1.25,Abstract
disproportionate,1.87,1.22,Abstract
disrespectful,1.87,1.07,Abstract
edgy,1.87,0.94,Abstract
emotionless,1.87,1.07,Abstract
limited,1.87,1.01,Abstract
obscene,1.87,1.04,Abstract
positional,1.87,1.06,Abstract
prominent,1.87,1.04,Abstract
punctual,1.87,1.14,Abstract
pure,1.87,1.22,Abstract
reputable,1.87,1.12,Abstract
sinful,1.87,1.17,Abstract
suspicious,1.87,1.07,Abstract
transitional,1.87,1.02,Abstract
uncaring,1.87,1.06,Abstract
uncouth,1.87,1.1,Abstract
undying,1.87,1.01,Abstract
universal,1.87,1.14,Abstract
unresolved,1.87,1.04,Abstract
unsaved,1.87,1.01,Abstract
utopian,1.87,1.32,Abstract
adorable,1.86,0.95,Abstract
amenable,1.86,1.13,Abstract
analytical,1.86,1.21,Abstract
antisocial,1.86,0.95,Abstract
careful,1.86,1.03,Abstract
concerned,1.86,1.08,Abstract
consequential,1.86,1.27,Abstract
dependable,1.86,1.04,Abstract
diabolic,1.86,1.09,Abstract
diplomatic,1.86,1.21,Abstract
disparate,1.86,0.8,Abstract
enforceable,1.86,1.24,Abstract
enterprising,1.86,1.03,Abstract
explicit,1.86,1.06,Abstract
hallowed,1.86,1.24,Abstract
humiliating,1.86,1.19,Abstract
impressionistic,1.86,1.3,Abstract
incisive,1.86,1.11,Abstract
incorruptible,1.86,0.88,Abstract
indecent,1.86,0.89,Abstract
influential,1.86,1.03,Abstract
invincible,1.86,1.19,Abstract
justifiable,1.86,0.93,Abstract
kindred,1.86,1.21,Abstract
loveless,1.86,1.01,Abstract
magnificent,1.86,1.15,Abstract
mature,1.86,1.16,Abstract
meaningless,1.86,0.93,Abstract
metaphoric,1.86,1.27,Abstract
nether,1.86,1.13,Abstract
neurotic,1.86,0.99,Abstract
nubile,1.86,1.21,Abstract
overambitious,1.86,1.08,Abstract
pertinent,1.86,1.15,Abstract
preachy,1.86,0.95,Abstract
purposeful,1.86,1.09,Abstract
quotable,1.86,1.24,Abstract
reliable,1.86,1.21,Abstract
ritualistic,1.86,1.13,Abstract
ritualized,1.86,1.13,Abstract
strange,1.86,0.99,Abstract
uncorrupted,1.86,1.16,Abstract
uneasy,1.86,1.04,Abstract
unflattering,1.86,0.97,Abstract
unobtainable,1.86,1.3,Abstract
unromantic,1.86,1.01,Abstract
unsatisfied,1.86,1.04,Abstract
untried,1.86,1.18,Abstract
uptight,1.86,0.8,Abstract
worldly,1.86,0.83,Abstract
wrathful,1.86,1.25,Abstract
yucky,1.86,1.03,Abstract
adaptable,1.85,1.05,Abstract
astute,1.85,1.2,Abstract
bothersome,1.85,0.91,Abstract
breathtaking,1.85,1.22,Abstract
convenient,1.85,1.13,Abstract
convincing,1.85,0.95,Abstract
customary,1.85,1.17,Abstract
demeaning,1.85,0.92,Abstract
devoid,1.85,1.12,Abstract
disadvantaged,1.85,0.99,Abstract
discretionary,1.85,0.99,Abstract
disinterested,1.85,1.05,Abstract
disparaging,1.85,1.16,Abstract
fiscal,1.85,1.12,Abstract
gifted,1.85,1.19,Abstract
glorious,1.85,1.35,Abstract
heroic,1.85,0.99,Abstract
ideological,1.85,0.92,Abstract
improbable,1.85,0.95,Abstract
individualistic,1.85,1.32,Abstract
lingering,1.85,0.86,Abstract
macroeconomic,1.85,1.23,Abstract
naive,1.85,1.03,Abstract
natural,1.85,1.05,Abstract
nefarious,1.85,0.86,Abstract
nervous,1.85,1.29,Abstract
occasional,1.85,0.91,Abstract
polite,1.85,1.02,Abstract
ravenous,1.85,0.97,Abstract
regressive,1.85,0.97,Abstract
respectable,1.85,1.16,Abstract
riveting,1.85,0.95,Abstract
sorrowing,1.85,1.06,Abstract
subdominant,1.85,0.95,Abstract
superficial,1.85,1.13,Abstract
superfluous,1.85,1.26,Abstract
tactless,1.85,1.1,Abstract
transformational,1.85,0.86,Abstract
unabated,1.85,0.82,Abstract
unassuming,1.85,1.17,Abstract
uncharacteristic,1.85,1.26,Abstract
uncooperative,1.85,0.99,Abstract
undefended,1.85,1.1,Abstract
underprivileged,1.85,0.99,Abstract
understandable,1.85,1.17,Abstract
unearthly,1.85,1.1,Abstract
unendurable,1.85,0.97,Abstract
unenlightened,1.85,0.97,Abstract
ungraceful,1.85,1.08,Abstract
unhallowed,1.85,1.08,Abstract
unhindered,1.85,0.97,Abstract
unmannered,1.85,0.91,Abstract
unmusical,1.85,1.16,Abstract
unprofessional,1.85,0.91,Abstract
unsociable,1.85,0.95,Abstract
unsupportable,1.85,1.26,Abstract
ceaseless,1.84,1.07,Abstract
confusing,1.84,0.9,Abstract
foolish,1.84,0.99,Abstract
insecure,1.84,1.19,Abstract
interpretative,1.84,0.99,Abstract
modernistic,1.84,1.07,Abstract
pragmatic,1.84,0.99,Abstract
reductive,1.84,0.94,Abstract
unpleasing,1.84,0.93,Abstract
unremitting,1.84,1.18,Abstract
advanced,1.83,1.23,Abstract
affluent,1.83,1.1,Abstract
apocalyptic,1.83,0.99,Abstract
archetypal,1.83,0.94,Abstract
avowed,1.83,1.07,Abstract
awesome,1.83,0.85,Abstract
baneful,1.83,1.05,Abstract
consequent,1.83,1.15,Abstract
definitive,1.83,1.2,Abstract
discouraging,1.83,1.12,Abstract
discourteous,1.83,1.2,Abstract
distasteful,1.83,1.0,Abstract
heretical,1.83,1.03,Abstract
inattentive,1.83,0.97,Abstract
inquisitive,1.83,1.21,Abstract
interrogatory,1.83,0.89,Abstract
irksome,1.83,1.01,Abstract
lonesome,1.83,1.17,Abstract
nameless,1.83,1.28,Abstract
nationalistic,1.83,0.92,Abstract
natured,1.83,1.26,Abstract
peacemaking,1.83,1.05,Abstract
pervasive,1.83,1.12,Abstract
political,1.83,1.17,Abstract
preliminary,1.83,1.05,Abstract
prevailing,1.83,1.0,Abstract
prevalent,1.83,1.17,Abstract
proslavery,1.83,1.07,Abstract
reliant,1.83,0.85,Abstract
resistant,1.83,0.91,Abstract
screwy,1.83,1.04,Abstract
sexist,1.83,1.26,Abstract
smug,1.83,1.09,Abstract
standard,1.83,1.15,Abstract
stately,1.83,1.2,Abstract
supernormal,1.83,1.11,Abstract
uncommitted,1.83,1.09,Abstract
uncontestable,1.83,1.27,Abstract
undecided,1.83,1.14,Abstract
undirected,1.83,1.15,Abstract
unencumbered,1.83,0.76,Abstract
unfamiliar,1.83,1.14,Abstract
unforeseen,1.83,1.26,Abstract
unimportant,1.83,1.23,Abstract
unpunctual,1.83,0.89,Abstract
unreliable,1.83,1.26,Abstract
untraced,1.83,1.01,Abstract
unwavering,1.83,1.26,Abstract
wrong,1.83,1.1,Abstract
alleged,1.82,1.16,Abstract
comprehensible,1.82,1.06,Abstract
comprehensive,1.82,1.02,Abstract
convoluted,1.82,1.19,Abstract
devilish,1.82,1.02,Abstract
diversionary,1.82,1.01,Abstract
dutiful,1.82,0.98,Abstract
efficient,1.82,1.02,Abstract
endless,1.82,1.22,Abstract
estranged,1.82,0.98,Abstract
grim,1.82,0.98,Abstract
illegitimate,1.82,1.12,Abstract
imaginative,1.82,1.06,Abstract
incompatible,1.82,1.16,Abstract
masterly,1.82,0.94,Abstract
nonsensical,1.82,1.33,Abstract
preconceived,1.82,1.12,Abstract
quieter,1.82,1.02,Abstract
regrettable,1.82,1.02,Abstract
semantic,1.82,0.9,Abstract
spectacular,1.82,1.06,Abstract
troubled,1.82,0.98,Abstract
unlikable,1.82,1.06,Abstract
unsubstantiated,1.82,0.9,Abstract
veritable,1.82,0.96,Abstract
wary,1.82,1.09,Abstract
wonderful,1.82,1.12,Abstract
absolute,1.81,1.24,Abstract
admirable,1.81,1.02,Abstract
ambitious,1.81,1.21,Abstract
attributable,1.81,0.83,Abstract
candid,1.81,0.88,Abstract
cautious,1.81,1.14,Abstract
circumspect,1.81,1.04,Abstract
classless,1.81,1.14,Abstract
committable,1.81,0.94,Abstract
compelling,1.81,1.13,Abstract
confounded,1.81,1.17,Abstract
depraved,1.81,1.13,Abstract
disappointing,1.81,1.1,Abstract
disruptive,1.81,1.06,Abstract
eccentric,1.81,1.21,Abstract
eventual,1.81,1.2,Abstract
famed,1.81,1.04,Abstract
frustrating,1.81,1.18,Abstract
great,1.81,0.96,Abstract
hospitable,1.81,0.88,Abstract
illusive,1.81,1.1,Abstract
impartial,1.81,0.96,Abstract
insatiable,1.81,1.08,Abstract
intellectual,1.81,1.24,Abstract
irrepressible,1.81,0.92,Abstract
irretrievable,1.81,0.96,Abstract
jaunty,1.81,0.85,Abstract
latent,1.81,1.0,Abstract
liberating,1.81,0.85,Abstract
mainstream,1.81,0.92,Abstract
menial,1.81,0.81,Abstract
novelistic,1.81,1.0,Abstract
patriarchal,1.81,1.23,Abstract
precancerous,1.81,1.08,Abstract
psychosocial,1.81,1.18,Abstract
puritanical,1.81,1.08,Abstract
quaint,1.81,0.92,Abstract
rebuttable,1.81,1.0,Abstract
resistible,1.81,1.06,Abstract
retaliatory,1.81,1.11,Abstract
sincere,1.81,1.0,Abstract
snobby,1.81,0.97,Abstract
unacknowledged,1.81,1.27,Abstract
unbeautiful,1.81,0.96,Abstract
uncultured,1.81,1.1,Abstract
undeclared,1.81,1.17,Abstract
unexploited,1.81,0.88,Abstract
unfashionable,1.81,1.17,Abstract
uninvolved,1.81,1.22,Abstract
unremarkable,1.81,1.11,Abstract
unsought,1.81,1.02,Abstract
willful,1.81,1.06,Abstract
witless,1.81,1.06,Abstract
accessible,1.8,0.96,Abstract
analytic,1.8,1.0,Abstract
bewildered,1.8,1.08,Abstract
determinative,1.8,1.12,Abstract
dire,1.8,0.87,Abstract
equalizing,1.8,1.08,Abstract
fanciful,1.8,0.96,Abstract
indiscreet,1.8,0.96,Abstract
indubitable,1.8,1.12,Abstract
necessary,1.8,1.19,Abstract
neutral,1.8,1.1,Abstract
outrageous,1.8,0.87,Abstract
perfunctory,1.8,1.08,Abstract
prim,1.8,1.08,Abstract
satisfactory,1.8,0.76,Abstract
scholarly,1.8,0.81,Abstract
systemic,1.8,0.91,Abstract
ungovernable,1.8,1.06,Abstract
adventuresome,1.79,1.15,Abstract
avoidable,1.79,1.21,Abstract
bizarre,1.79,1.13,Abstract
catchy,1.79,0.98,Abstract
clever,1.79,1.03,Abstract
compassionate,1.79,0.88,Abstract
crummiest,1.79,0.79,Abstract
depressing,1.79,1.17,Abstract
discriminative,1.79,0.77,Abstract
equivocal,1.79,1.05,Abstract
eventful,1.79,0.96,Abstract
extensive,1.79,0.94,Abstract
fiendish,1.79,0.74,Abstract
foolproof,1.79,0.77,Abstract
heartless,1.79,1.17,Abstract
humane,1.79,1.24,Abstract
humanistic,1.79,0.98,Abstract
imaginable,1.79,1.03,Abstract
incontestable,1.79,0.99,Abstract
indigent,1.79,1.05,Abstract
inordinate,1.79,1.02,Abstract
irrational,1.79,1.05,Abstract
judgmental,1.79,1.08,Abstract
legal,1.79,1.1,Abstract
meddlesome,1.79,0.88,Abstract
memorable,1.79,1.08,Abstract
negative,1.79,1.17,Abstract
,1.79,0.98,Abstract
obstinate,1.79,1.15,Abstract
opposite,1.79,0.73,Abstract
ordinary,1.79,1.05,Abstract
parochial,1.79,0.99,Abstract
priceless,1.79,1.2,Abstract
proficient,1.79,0.94,Abstract
provincial,1.79,1.07,Abstract
questionable,1.79,0.99,Abstract
renewed,1.79,0.99,Abstract
respective,1.79,1.07,Abstract
retroactive,1.79,1.1,Abstract
ridiculous,1.79,1.15,Abstract
sane,1.79,0.94,Abstract
sobering,1.79,1.05,Abstract
spiritual,1.79,1.26,Abstract
splendid,1.79,0.94,Abstract
suggestible,1.79,1.05,Abstract
supersensory,1.79,1.1,Abstract
treasonable,1.79,1.29,Abstract
unaccustomed,1.79,1.07,Abstract
undemanding,1.79,1.1,Abstract
undoubted,1.79,1.18,Abstract
unexplained,1.79,1.1,Abstract
unexplored,1.79,1.13,Abstract
unintentional,1.79,0.86,Abstract
unlucky,1.79,0.9,Abstract
unpremeditated,1.79,0.98,Abstract
unpronounceable,1.79,0.92,Abstract
unreasoning,1.79,0.92,Abstract
unrecoverable,1.79,0.99,Abstract
unrelieved,1.79,0.73,Abstract
whorish,1.79,0.92,Abstract
annual,1.78,1.31,Abstract
apt,1.78,1.01,Abstract
attentive,1.78,0.97,Abstract
awed,1.78,0.93,Abstract
careless,1.78,1.05,Abstract
contemplative,1.78,1.05,Abstract
contentious,1.78,0.97,Abstract
deceptive,1.78,0.8,Abstract
deliberate,1.78,0.93,Abstract
deplorable,1.78,0.93,Abstract
discernible,1.78,1.09,Abstract
dispassionate,1.78,1.12,Abstract
ditsy,1.78,1.0,Abstract
evolutionary,1.78,1.25,Abstract
exquisite,1.78,1.22,Abstract
fantastic,1.78,1.01,Abstract
forgiving,1.78,1.01,Abstract
galore,1.78,1.19,Abstract
grateful,1.78,0.93,Abstract
gullible,1.78,1.15,Abstract
honorable,1.78,0.8,Abstract
overwhelming,1.78,1.12,Abstract
parliamentary,1.78,1.0,Abstract
phenomenal,1.78,0.97,Abstract
prideful,1.78,1.09,Abstract
proper,1.78,1.22,Abstract
reasonable,1.78,1.12,Abstract
releasable,1.78,1.04,Abstract
sacrilegious,1.78,1.05,Abstract
swoony,1.78,0.9,Abstract
unaccountable,1.78,0.97,Abstract
unalterable,1.78,1.01,Abstract
unfortunate,1.78,0.93,Abstract
unspent,1.78,1.19,Abstract
untranslatable,1.78,1.15,Abstract
useless,1.78,0.89,Abstract
victimless,1.78,1.01,Abstract
abridged,1.77,1.03,Abstract
ambassadorial,1.77,0.92,Abstract
astrophysical,1.77,1.27,Abstract
beneficial,1.77,0.95,Abstract
charismatic,1.77,0.99,Abstract
cosmological,1.77,0.99,Abstract
gainful,1.77,0.95,Abstract
grueling,1.77,1.11,Abstract
inopportune,1.77,0.99,Abstract
insane,1.77,0.97,Abstract
insightful,1.77,0.82,Abstract
irreverent,1.77,1.04,Abstract
newish,1.77,0.97,Abstract
paranoid,1.77,1.14,Abstract
plausible,1.77,0.9,Abstract
prudent,1.77,1.17,Abstract
referential,1.77,1.02,Abstract
sacred,1.77,1.28,Abstract
snazzy,1.77,0.91,Abstract
sympathetic,1.77,0.99,Abstract
unable,1.77,1.07,Abstract
unaffected,1.77,1.04,Abstract
unassailable,1.77,1.11,Abstract
unconditional,1.77,0.95,Abstract
underprepared,1.77,1.03,Abstract
undeterred,1.77,0.91,Abstract
unsung,1.77,1.07,Abstract
unwarrantable,1.77,1.07,Abstract
beatable,1.76,0.79,Abstract
bewildering,1.76,1.01,Abstract
conspiratorial,1.76,0.93,Abstract
counterintuitive,1.76,1.13,Abstract
egotistical,1.76,0.87,Abstract
envious,1.76,1.06,Abstract
eternal,1.76,1.18,Abstract
forlorn,1.76,0.88,Abstract
formidable,1.76,1.18,Abstract
genocidal,1.76,0.95,Abstract
glorified,1.76,0.87,Abstract
helpful,1.76,1.02,Abstract
homicidal,1.76,1.23,Abstract
impertinent,1.76,0.93,Abstract
indecipherable,1.76,1.12,Abstract
infamous,1.76,1.27,Abstract
insincere,1.76,0.83,Abstract
interdepartmental,1.76,0.83,Abstract
learnable,1.76,0.99,Abstract
likely,1.76,1.01,Abstract
lucky,1.76,1.12,Abstract
misleading,1.76,1.15,Abstract
optimal,1.76,1.02,Abstract
optimum,1.76,1.05,Abstract
overall,1.76,1.21,Abstract
reluctant,1.76,1.3,Abstract
special,1.76,1.02,Abstract
surrealistic,1.76,1.3,Abstract
traditional,1.76,1.01,Abstract
trustful,1.76,1.09,Abstract
uncomprehending,1.76,1.09,Abstract
underwhelmed,1.76,0.91,Abstract
unpretentious,1.76,1.05,Abstract
unrivaled,1.76,0.83,Abstract
unselfconscious,1.76,1.02,Abstract
untold,1.76,0.87,Abstract
untruthful,1.76,0.99,Abstract
anarchic,1.75,0.89,Abstract
bighearted,1.75,1.21,Abstract
captivating,1.75,1.08,Abstract
correlative,1.75,0.85,Abstract
curious,1.75,1.29,Abstract
discriminatory,1.75,1.04,Abstract
discussable,1.75,1.17,Abstract
disquieting,1.75,0.97,Abstract
distinguishing,1.75,0.89,Abstract
gutless,1.75,0.97,Abstract
honorary,1.75,1.22,Abstract
indicative,1.75,1.04,Abstract
indisposed,1.75,0.89,Abstract
insufficient,1.75,0.93,Abstract
meditative,1.75,0.89,Abstract
nominative,1.75,0.94,Abstract
outstanding,1.75,0.93,Abstract
passionless,1.75,1.08,Abstract
perceptual,1.75,1.0,Abstract
saintly,1.75,0.97,Abstract
smart,1.75,1.08,Abstract
statutory,1.75,1.04,Abstract
stupid,1.75,0.97,Abstract
unaware,1.75,0.84,Abstract
unceremonious,1.75,0.93,Abstract
undefiled,1.75,1.07,Abstract
unfazed,1.75,0.93,Abstract
unsavory,1.75,1.08,Abstract
unsearchable,1.75,1.0,Abstract
verifiable,1.75,1.04,Abstract
wiser,1.75,1.21,Abstract
amicable,1.74,0.76,Abstract
ashamed,1.74,1.2,Abstract
autocratic,1.74,1.01,Abstract
broadminded,1.74,1.16,Abstract
causable,1.74,1.13,Abstract
comparative,1.74,1.02,Abstract
democratic,1.74,0.98,Abstract
disaffected,1.74,0.86,Abstract
effectual,1.74,1.13,Abstract
finite,1.74,1.32,Abstract
hapless,1.74,1.1,Abstract
imaginary,1.74,1.1,Abstract
incidental,1.74,1.16,Abstract
inept,1.74,1.02,Abstract
inscrutable,1.74,0.92,Abstract
instructive,1.74,1.02,Abstract
metaphorical,1.74,1.06,Abstract
motherfucking,1.74,1.2,Abstract
nonnegotiable,1.74,1.01,Abstract
sorrowful,1.74,0.86,Abstract
teachable,1.74,1.06,Abstract
temperamental,1.74,0.98,Abstract
undiagnosed,1.74,0.86,Abstract
uneventful,1.74,1.1,Abstract
unexcused,1.74,1.06,Abstract
unreasoned,1.74,1.29,Abstract
unrelated,1.74,1.02,Abstract
unsound,1.74,1.01,Abstract
venerable,1.74,0.76,Abstract
voracious,1.74,1.02,Abstract
accommodative,1.73,0.83,Abstract
apparent,1.73,1.28,Abstract
cultish,1.73,0.72,Abstract
desperate,1.73,1.08,Abstract
doubtful,1.73,1.11,Abstract
erratic,1.73,1.0,Abstract
existential,1.73,1.22,Abstract
humble,1.73,0.94,Abstract
humorless,1.73,0.91,Abstract
idyllic,1.73,0.87,Abstract
imperceptible,1.73,1.08,Abstract
impetuous,1.73,1.0,Abstract
inconsiderable,1.73,1.19,Abstract
incorporeal,1.73,1.08,Abstract
innate,1.73,0.87,Abstract
insolent,1.73,1.04,Abstract
nifty,1.73,1.12,Abstract
overeager,1.73,0.92,Abstract
quasi,1.73,1.15,Abstract
spontaneous,1.73,1.17,Abstract
sure,1.73,0.92,Abstract
unacceptable,1.73,1.05,Abstract
unassisted,1.73,1.11,Abstract
unattainable,1.73,1.05,Abstract
unbeatable,1.73,0.83,Abstract
unconvinced,1.73,1.14,Abstract
undisclosed,1.73,0.83,Abstract
unessential,1.73,0.87,Abstract
uninterested,1.73,0.87,Abstract
unmistakable,1.73,0.87,Abstract
unproven,1.73,1.22,Abstract
unsubstantial,1.73,1.11,Abstract
unsuspecting,1.73,1.14,Abstract
avid,1.72,0.96,Abstract
baffling,1.72,0.96,Abstract
capitalistic,1.72,1.0,Abstract
consenting,1.72,1.02,Abstract
controllable,1.72,1.0,Abstract
countless,1.72,1.03,Abstract
covert,1.72,1.02,Abstract
credible,1.72,1.16,Abstract
denominational,1.72,0.96,Abstract
disadvantageous,1.72,0.88,Abstract
egoistic,1.72,0.98,Abstract
generalized,1.72,1.0,Abstract
humbling,1.72,1.07,Abstract
insidious,1.72,0.96,Abstract
insistent,1.72,0.98,Abstract
insurmountable,1.72,1.03,Abstract
neoclassical,1.72,1.06,Abstract
obtrusive,1.72,0.84,Abstract
peerless,1.72,1.19,Abstract
phenomenological,1.72,1.34,Abstract
pitiable,1.72,1.14,Abstract
prudish,1.72,0.94,Abstract
relevant,1.72,1.03,Abstract
retrospective,1.72,1.07,Abstract
rudimentary,1.72,1.0,Abstract
sainted,1.72,1.06,Abstract
sensational,1.72,1.0,Abstract
submissive,1.72,1.0,Abstract
subtle,1.72,1.07,Abstract
transactional,1.72,0.79,Abstract
unadvised,1.72,0.84,Abstract
uncontrolled,1.72,0.94,Abstract
undetectable,1.72,0.89,Abstract
unladylike,1.72,0.96,Abstract
unneeded,1.72,1.17,Abstract
unprovoked,1.72,0.88,Abstract
unquestioned,1.72,1.07,Abstract
untamable,1.72,0.84,Abstract
akin,1.71,0.95,Abstract
astounded,1.71,0.9,Abstract
daring,1.71,1.08,Abstract
determinate,1.71,0.86,Abstract
dissociative,1.71,1.0,Abstract
explanatory,1.71,0.86,Abstract
fallacious,1.71,1.04,Abstract
goodhearted,1.71,1.08,Abstract
heinous,1.71,0.85,Abstract
indignant,1.71,1.04,Abstract
limitless,1.71,0.94,Abstract
lowly,1.71,0.81,Abstract
luxuriant,1.71,0.86,Abstract
magnanimous,1.71,1.0,Abstract
moot,1.71,1.01,Abstract
poetical,1.71,0.95,Abstract
shameful,1.71,1.08,Abstract
traitorous,1.71,0.85,Abstract
undemonstrative,1.71,0.85,Abstract
unperceptive,1.71,0.94,Abstract
untroubled,1.71,1.18,Abstract
affable,1.7,0.97,Abstract
antimilitary,1.7,1.06,Abstract
coincidental,1.7,1.21,Abstract
curative,1.7,0.93,Abstract
dismissible,1.7,1.1,Abstract
egomaniacal,1.7,1.06,Abstract
empathic,1.7,0.95,Abstract
exclusionary,1.7,0.87,Abstract
faithless,1.7,1.07,Abstract
fundable,1.7,1.1,Abstract
groundless,1.7,1.07,Abstract
hopeful,1.7,1.07,Abstract
infatuated,1.7,0.82,Abstract
inferior,1.7,0.88,Abstract
infrequent,1.7,0.91,Abstract
interpretive,1.7,1.03,Abstract
involuntary,1.7,0.82,Abstract
momentous,1.7,0.87,Abstract
nonessential,1.7,1.17,Abstract
nonspecific,1.7,1.2,Abstract
odd,1.7,1.1,Abstract
rapturous,1.7,0.87,Abstract
remorseless,1.7,0.87,Abstract
skeptical,1.7,1.1,Abstract
true,1.7,1.03,Abstract
ultimate,1.7,1.18,Abstract
unaltered,1.7,0.84,Abstract
unappetizing,1.7,1.03,Abstract
uncivil,1.7,1.06,Abstract
uncountable,1.7,0.99,Abstract
unlovable,1.7,1.26,Abstract
unrewarded,1.7,0.82,Abstract
anticipatory,1.69,1.05,Abstract
atrocious,1.69,1.05,Abstract
beholden,1.69,1.12,Abstract
bygone,1.69,1.12,Abstract
conceivable,1.69,0.81,Abstract
contemptuous,1.69,0.97,Abstract
demented,1.69,0.81,Abstract
diligent,1.69,0.97,Abstract
discernable,1.69,0.84,Abstract
foolhardy,1.69,0.89,Abstract
godly,1.69,1.19,Abstract
gutsy,1.69,0.85,Abstract
impersonal,1.69,0.76,Abstract
improper,1.69,0.86,Abstract
inexpressible,1.69,1.12,Abstract
intrinsic,1.69,0.89,Abstract
lackadaisical,1.69,0.84,Abstract
loyal,1.69,1.17,Abstract
lucrative,1.69,0.89,Abstract
misanthropic,1.69,1.05,Abstract
moral,1.69,1.12,Abstract
